SITC 5 DIGIT,5D DESC
00111,"LIVE ANIMALS; BOVINE, PURE-BRED BREEDING"
00119,"LIVE ANIMALS; BOVINE, OTHER THAN PURE-BRED BREEDING"
00122,LIVE; GOATS
00139,"LIVE; SWINE, OTHER THAN PURE-BRED BREEDING"
00141,"LIVE ANIMALS; POULTRY, (I.E., FOWLS OF THE SPECIES GALLUS DONESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS), WEIGHING NOT MORE THAN 185 G"
00149,"LIVE ANIMALS; POULTRY, (I.E., FOWLS OF THE SPECIES GALLUS DONESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS), MORE THAN 185 G"
00151,HORSES
00190,LIVE ANIMALS; N.E.S IN GROUP 001
01111,"MEAT AND MEAT PREPARATIONS; OF BOVINE ANIMALS, FRESH OR CHILLED, WITH BONES IN"
01112,"MEAT AND MEAT PREPARATIONS; OF BOVINE ANIMALS, FRESH OR CHILLED, BONELESS"
01121,"MEAT AND MEAT PREPARATIONS; OF BOVINE ANIMALS, FROZEN, WITH BONE IN"
01122,"MEAT AND MEAT PREPARATIONS; OF BOVINE ANIMALS, FROZEN, BONELESS"
01211,"MEAT AND MEAT PREPARATIONS; OF SHEEP, FRESH OR CHILLED"
01212,"MEAT AND MEAT PREPARATIONS; OF SHEEP, FROZEN"
01213,"MEAT AND MEAT PREPARATIONS; OF GOATS, FRESH, CHILLED OR FROZEN"
01221,"MEAT AND MEAT PREPARATIONS; OF SWINE, FRESH OR CHILLED"
01222,"MEAT AND MEAT PREPARATIONS; OF SWINE, FROZEN"
01231,"MEAT AND EDIBLE OFFAL; OF POULTRY, NOT CUT IN PIECES, FRESH OR CHILLED"
01232,"MEAT AND EDIBLE OFFAL; OF POULTRY, NOT CUT IN PIECES, FROZEN"
01233,"FATTY LIVERS OF GEESE OR DUCKS, FRESH OR CHILLED"
01234,"MEAT AND EDIBLE OFFAL; OF POULTRY CUTS AND OTHER OFFAL, FRESH OR CHILLED"
01235,"MEAT AND EDIBLE OFFAL; OF POULTRY CUTS AND OFFAL (OTHER THAN LIVER), FROZEN"
01252,"EDIBLE OFFAL; OF BOVINE ANIMALS, FROZEN"
01254,"EDIBLE OFFAL; OF SWINE, FROZEN"
01256,"EDIBLE OFFAL; OF SHEEP, GOATS, HORSES, ASSES, MULES OR HINNIES, FROZEN"
01293,"MEAT AND EDIBLE MEAT OFFAL; SNAILS (OTHER THAN SEA SNAILS), FRESH, CHILLED OR FROZEN"
01299,"MEAT AND EDIBLE MEAT OFFAL; N.E.S IN GROUP 012, FRESH, CHILLED OR FROZEN"
01619,MEAT AND EDIBLE MEAT OFFAL; N.E.S IN GROUP 012
01681,MEAT AND EDIBLE MEAT OFFAL; OF BOVINE ANIMALS
01689,"MEAT AND EDIBLE MEAT OFFAL; N.E.S IN GROUP 016, INCLUDING EDIBLE FLOURS AND MEALS OF MEAT OR MEAT OFFAL"
01710,"MEAT AND EDIBLE MEAT OFFAL; EXTRACTS AND JUICES, FISH OR CRUSTACEANS, MOLUSCS OR OTHER AQUATIC INVERTEBRATES"
